lsoa21cd,domain_supermarket_proximity,domain_supermarket_accessibility,domain_ecommerce_access,domain_socio_demographic,domain_nonsupermarket_proximity,domain_food_for_families,domain_fuel_poverty,country,country_denominator,combined,pp_dec_domain_supermarket_proximity,pp_dec_domain_supermarket_accessibility,pp_dec_domain_ecommerce_access,pp_dec_domain_socio_demographic,pp_dec_domain_nonsupermarket_proximity,pp_dec_domain_food_for_families,pp_dec_domain_fuel_poverty,pp_dec_combined
S01009442,1201,2141.0,6165.0,6145,1720,3812,4307.0,S,6976,4237,2,4.0,9.0,9,3,6,7.0,7
S01009443,2778,3716.0,5101.0,3533,2249,3311,3478.0,S,6976,2077,4,6.0,8.0,6,4,5,5.0,3
S01009444,1576,3089.0,5923.0,5527,3770,4038,5719.0,S,6976,4885,3,5.0,9.0,8,6,6,9.0,8
S01009445,1476,3838.0,3159.0,2799,3233,4052,2787.0,S,6976,1249,3,6.0,5.0,5,5,6,4.0,2
S01009446,1570,5434.0,582.0,704,3961,3972,1849.0,S,6976,911,3,8.0,1.0,2,6,6,3.0,2
S01009447,1662,5119.0,3159.0,2370,4087,3926,2350.0,S,6976,1697,3,8.0,5.0,4,6,6,4.0,3
S01009448,1507,2332.0,5101.0,3732,3667,3909,3732.0,S,6976,2220,3,4.0,8.0,6,6,6,6.0,4
S01009449,1775,4485.0,3159.0,2459,3905,3897,2629.0,S,6976,1465,3,7.0,5.0,4,6,6,4.0,3
S01009450,4101,4138.0,582.0,740,3082,4161,1106.0,S,6976,697,6,6.0,1.0,2,5,6,2.0,1
S01009451,2017,4918.0,582.0,1077,3777,3927,1955.0,S,6976,799,3,8.0,1.0,2,6,6,3.0,2
S01009452,1791,5131.0,582.0,1377,4083,3969,2246.0,S,6976,1051,3,8.0,1.0,2,6,6,4.0,2
S01009453,1682,4493.0,3159.0,2113,4117,3983,2028.0,S,6976,1299,3,7.0,5.0,4,6,6,3.0,2
S01009454,1167,2170.0,5696.0,5037,3017,2945,5586.0,S,6976,3659,2,4.0,9.0,8,5,5,9.0,6
S01009455,2755,2050.0,4744.0,5140,2355,3001,5602.0,S,6976,3357,4,3.0,7.0,8,4,5,9.0,5
S01009456,3570,2772.0,3159.0,2027,4273,3780,2843.0,S,6976,1404,6,4.0,5.0,3,7,6,5.0,3
S01009457,1075,1412.0,5923.0,5174,1077,3004,4585.0,S,6976,2728,2,3.0,9.0,8,2,5,7.0,4
S01009458,899,5645.0,4150.0,3179,3573,816,4304.0,S,6976,2028,2,9.0,6.0,5,6,2,7.0,3
S01009459,799,6275.0,2081.0,1726,3527,743,2606.0,S,6976,1076,2,9.0,3.0,3,6,2,4.0,2
S01009460,619,4444.0,205.0,603,3481,835,1478.0,S,6976,53,1,7.0,1.0,1,5,2,3.0,1
S01009461,607,4097.0,5696.0,6894,3409,1047,3386.0,S,6976,5193,1,6.0,9.0,10,5,2,5.0,8
S01009462,667,3356.0,2081.0,3635,2502,1518,3049.0,S,6976,454,1,5.0,3.0,6,4,3,5.0,1
S01009463,1052,4726.0,5101.0,3735,2176,1138,3693.0,S,6976,1657,2,7.0,8.0,6,4,2,6.0,3
S01009464,906,4368.0,5101.0,4649,3414,958,5152.0,S,6976,2868,2,7.0,8.0,7,5,2,8.0,5
S01009465,680,5001.0,4042.0,3625,3546,996,4271.0,S,6976,1779,1,8.0,6.0,6,6,2,7.0,3
S01009466,1079,5481.0,5101.0,5413,2509,1279,5982.0,S,6976,4374,2,8.0,8.0,8,4,2,9.0,7
S01009467,1289,2153.0,5923.0,5824,1381,3181,6370.0,S,6976,4912,2,4.0,9.0,9,2,5,10.0,8
S01009468,1426,2856.0,3159.0,1918,1285,3075,2840.0,S,6976,381,3,5.0,5.0,3,2,5,5.0,1
S01009469,1497,2503.0,5101.0,4328,1145,3025,4691.0,S,6976,2090,3,4.0,8.0,7,2,5,7.0,3
S01009470,1603,1997.0,4971.0,4193,1143,2925,4798.0,S,6976,1909,3,3.0,8.0,7,2,5,7.0,3
S01009471,6633,3594.0,582.0,116,5624,1122,1195.0,S,6976,2167,10,6.0,1.0,1,9,2,2.0,4
S01009472,6064,2567.0,3159.0,906,5550,1099,2551.0,S,6976,2027,9,4.0,5.0,2,8,2,4.0,3
S01009473,6555,2616.0,3159.0,920,4358,1350,1675.0,S,6976,1961,10,4.0,5.0,2,7,2,3.0,3
S01009474,6192,1987.0,5286.0,1199,2587,1654,1896.0,S,6976,1776,9,3.0,8.0,2,4,3,3.0,3
S01009475,4629,1401.0,6165.0,6468,1345,2004,3386.0,S,6976,4434,7,3.0,9.0,10,2,3,5.0,7
S01009476,2781,1091.0,6165.0,6581,995,2561,3386.0,S,6976,4262,4,2.0,9.0,10,2,4,5.0,7
S01009477,4173,3200.0,5286.0,3269,6065,809,4463.0,S,6976,3592,6,5.0,8.0,5,9,2,7.0,6
S01009478,3645,3313.0,5286.0,2233,5899,889,2369.0,S,6976,2253,6,5.0,8.0,4,9,2,4.0,4
S01009479,5903,4836.0,5286.0,2698,6041,802,2473.0,S,6976,4034,9,7.0,8.0,4,9,2,4.0,6
S01009480,6138,4437.0,5101.0,3892,5966,857,5802.0,S,6976,5444,9,7.0,8.0,6,9,2,9.0,8
S01009481,3621,3049.0,5286.0,3441,5110,1067,3746.0,S,6976,2538,6,5.0,8.0,5,8,2,6.0,4
S01009482,4374,3204.0,5286.0,2768,5701,1037,2406.0,S,6976,2497,7,5.0,8.0,4,9,2,4.0,4
S01009483,3883,2438.0,6165.0,2919,5647,1012,3322.0,S,6976,3101,6,4.0,9.0,5,9,2,5.0,5
S01009484,6107,3466.0,3159.0,2046,5912,894,3791.0,S,6976,3173,9,5.0,5.0,3,9,2,6.0,5
S01009485,4125,3936.0,3159.0,2480,4325,1268,3226.0,S,6976,1406,6,6.0,5.0,4,7,2,5.0,3
S01009486,4285,3137.0,5101.0,3813,4962,1182,5299.0,S,6976,3582,7,5.0,8.0,6,8,2,8.0,6
S01009487,3589,3958.0,3159.0,1466,4748,1080,2695.0,S,6976,1026,6,6.0,5.0,3,7,2,4.0,2
S01009488,3351,5045.0,3159.0,3280,3678,1317,3744.0,S,6976,1831,5,8.0,5.0,5,6,2,6.0,3
